EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-01-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREMSMUENSTER, AUSTRIA (STAID: 11)
Blended and updated with sources:31 17863 911012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
    11,    31,18760101,  -50,    0
    11,    31,18760102,  -30,    0
    11,    31,18760103,    4,    0
    11,    31,18760104, -106,    0
    11,    31,18760105, -118,    0
    11,    31,18760106, -143,    0
    11,    31,18760107, -178,    0
    11,    31,18760108, -114,    0
    11,    31,18760109, -158,    0
    11,    31,18760110, -110,    0
    11,    31,18760111, -106,    0
    11,    31,18760112,  -98,    0
    11,    31,18760113,  -60,    0
    11,    31,18760114,  -40,    0
    11,    31,18760115,  -58,    0
    11,    31,18760116,  -86,    0
    11,    31,18760117,  -68,    0
    11,    31,18760118,  -55,    0
    11,    31,18760119,   -2,    0
    11,    31,18760120,  -75,    0
    11,    31,18760121, -105,    0
    11,    31,18760122,  -59,    0
    11,    31,18760123,   -6,    0
    11,    31,18760124,  -60,    0
    11,    31,18760125,  -98,    0
    11,    31,18760126,  -66,    0
    11,    31,18760127, -100,    0
    11,    31,18760128, -106,    0
    11,    31,18760129,  -95,    0
    11,    31,18760130,  -86,    0
    11,    31,18760131,  -82,    0
    11,    31,18760201,  -76,    0
    11,    31,18760202,  -68,    0
    11,    31,18760203,  -75,    0
    11,    31,18760204,  -76,    0
    11,    31,18760205,  -70,    0
    11,    31,18760206,  -76,    0
    11,    31,18760207, -100,    0
    11,    31,18760208, -137,    0
    11,    31,18760209, -103,    0
    11,    31,18760210, -162,    0
    11,    31,18760211, -115,    0
    11,    31,18760212, -102,    0
    11,    31,18760213, -175,    0
    11,    31,18760214, -128,    0
    11,    31,18760215,  -45,    0
    11,    31,18760216,   -4,    0
    11,    31,18760217,   20,    0
    11,    31,18760218,   30,    0
    11,    31,18760219,   15,    0
    11,    31,18760220,   33,    0
    11,    31,18760221,   46,    0
    11,    31,18760222,   35,    0
    11,    31,18760223,   40,    0
    11,    31,18760224,    4,    0
    11,    31,18760225,   -3,    0
    11,    31,18760226,  -20,    0
    11,    31,18760227,   35,    0
    11,    31,18760228,   53,    0
    11,    31,18760229,   43,    0
    11,    31,18760301,   68,    0
    11,    31,18760302,   40,    0
    11,    31,18760303,   28,    0
    11,    31,18760304,   30,    0
    11,    31,18760305,    3,    0
    11,    31,18760306,   13,    0
    11,    31,18760307,   20,    0
    11,    31,18760308,   -6,    0
    11,    31,18760309,    0,    0
    11,    31,18760310,    4,    0
    11,    31,18760311,  -10,    0
    11,    31,18760312,   10,    0
    11,    31,18760313,    4,    0
    11,    31,18760314,    2,    0
    11,    31,18760315,   20,    0
    11,    31,18760316,   13,    0
    11,    31,18760317,   32,    0
    11,    31,18760318,  -24,    0
    11,    31,18760319,  -35,    0
    11,    31,18760320,  -64,    0
    11,    31,18760321,  -25,    0
    11,    31,18760322,  -37,    0
    11,    31,18760323,  -38,    0
    11,    31,18760324,  -22,    0
    11,    31,18760325,    0,    0
    11,    31,18760326,   24,    0
    11,    31,18760327,   23,    0
    11,    31,18760328,   16,    0
    11,    31,18760329,   34,    0
    11,    31,18760330,   56,    0
    11,    31,18760331,   33,    0
    11,    31,18760401,   55,    0
    11,    31,18760402,   90,    0
    11,    31,18760403,   60,    0
    11,    31,18760404,   75,    0
    11,    31,18760405,   70,    0
    11,    31,18760406,   50,    0
    11,    31,18760407,   70,    0
    11,    31,18760408,   24,    0
    11,    31,18760409,    3,    0
    11,    31,18760410,   94,    0
    11,    31,18760411,   60,    0
    11,    31,18760412,   18,    0
    11,    31,18760413,    0,    0
    11,    31,18760414,  -10,    0
    11,    31,18760415,   22,    0
    11,    31,18760416,   68,    0
    11,    31,18760417,   72,    0
    11,    31,18760418,   60,    0
    11,    31,18760419,   48,    0
    11,    31,18760420,   56,    0
    11,    31,18760421,   80,    0
    11,    31,18760422,  105,    0
    11,    31,18760423,   88,    0
    11,    31,18760424,   90,    0
    11,    31,18760425,   97,    0
    11,    31,18760426,   75,    0
